Tanggal,Suhu Minimum,Suhu Maksimum,Suhu Rata-rata,Kelembaban Relatif Rata rata,Curah Hujan,Durasi Penyinaran Matahari (dalam jam),Kecepatan Angin (dalam meter per detik),Arah Angin (dalam derajat),Kecepatan Angin Rata rata (dalam meter per detik)
2023-01-01,24.6,35.2,28.7,79.0,0.0,4.4,2.0,260.0,1.0
2023-01-02,24.8,34.4,28.5,77.0,0.0,6.6,3.0,230.0,2.0
2023-01-03,24.8,32.6,28.3,75.0,0.0,7.7,8.0,210.0,4.0
2023-01-04,24.9,31.4,27.4,79.0,0.0,2.5,4.0,320.0,2.0
2023-01-05,25.0,34.0,28.3,72.0,0.0,0.5,8.0,250.0,3.0
2023-01-06,24.2,34.0,28.4,74.5,0.0,7.8,9.0,230.0,2.0
2023-01-07,24.8,33.0,28.5,77.0,0.0,7.5,4.0,300.0,2.0
2023-01-08,24.8,32.2,28.1,81.0,8888.0,2.6,3.0,250.0,1.0
2023-01-09,24.0,31.4,26.7,82.0,0.3,0.4,3.0,250.0,2.0
2023-01-10,22.9,33.3,26.4,82.0,0.0,0.8,8.0,250.0,3.0
2023-01-11,22.2,32.6,26.9,80.0,0.0,3.6,3.0,190.0,2.0
2023-01-12,22.2,34.8,26.8,82.0,0.0,2.6,6.0,350.0,1.0
2023-01-13,23.6,34.4,28.4,79.0,8888.0,4.8,7.0,170.0,2.0
2023-01-14,23.6,35.2,28.9,80.0,0.0,7.2,3.0,300.0,1.0
2023-01-15,24.0,33.4,27.6,84.0,0.0,5.9,2.0,310.0,1.0
2023-01-16,24.0,32.8,28.2,84.0,2.2,1.7,2.0,20.0,1.0
2023-01-17,25.2,32.8,27.7,85.0,0.0,2.4,3.0,143.0,1.0
2023-01-18,23.8,32.6,26.8,86.0,3.0,4.2,3.0,340.0,1.0
2023-01-19,23.8,32.8,27.0,82.0,8888.0,4.9,2.0,330.0,1.0
2023-01-20,23.2,33.4,26.7,86.0,0.0,2.8,4.0,270.0,1.0
2023-01-21,23.4,32.2,26.3,87.0,0.0,4.3,6.0,160.0,1.0
2023-01-22,22.8,34.8,28.4,81.0,2.8,2.1,6.0,255.0,2.0
2023-01-23,24.2,34.0,28.0,80.0,8888.0,5.0,5.0,270.0,2.0
2023-01-24,23.4,33.0,27.3,82.0,0.0,9999.0,4.0,100.0,2.0
2023-01-25,24.0,32.0,27.2,85.0,8888.0,5.6,3.0,50.0,1.0
2023-01-26,24.2,27.95,27.8,82.0,3.4,3.0,2.0,10.0,1.0
2023-01-27,24.2,23.9,26.3,87.0,9.5,6.3,2.0,340.0,1.0
2023-01-28,23.9,31.8,27.1,86.0,5.9,1.3,2.0,270.0,1.0
2023-01-29,24.4,32.0,26.6,90.0,0.0,1.9,7.0,340.0,2.0
2023-01-30,22.8,33.4,26.6,87.0,33.5,1.5,3.0,260.0,1.0
2023-01-31,24.0,30.6,26.6,88.0,1.5,4.9,2.0,360.0,1.0
2023-02-01,23.4,30.2,26.2,88.0,8888.0,0.7,3.0,345.0,1.0
2023-02-02,24.3,33.0,26.9,88.0,6.5,0.2,3.0,310.0,1.0
2023-02-03,23.5,32.3,26.3,88.0,12.6,3.4,3.0,230.0,1.0
2023-02-04,23.8,31.8,27.0,84.0,8888.0,1.7,3.0,360.0,1.0
2023-02-05,24.0,32.4,27.5,84.0,0.0,1.5,5.0,10.0,2.0
2023-02-06,24.4,33.5,28.2,82.0,1.5,1.7,3.0,20.0,2.0
2023-02-07,25.0,32.2,27.8,83.0,0.0,7.2,2.0,310.0,1.0
2023-02-08,25.0,33.6,28.4,77.0,0.0,1.4,3.0,270.0,1.0
2023-02-09,25.0,30.2,27.2,83.0,8888.0,3.4,4.0,215.0,1.0
2023-02-10,24.8,33.3,28.3,78.0,8888.0,0.0,3.0,310.0,1.0
2023-02-11,24.4,33.7,27.7,84.0,0.0,3.5,2.0,110.0,0.0
2023-02-12,24.8,32.8,27.9,85.0,7.8,4.9,3.0,270.0,1.0
2023-02-13,24.2,30.0,26.4,85.0,9.5,2.1,9.0,220.0,3.0
2023-02-14,25.0,33.6,28.4,74.0,8888.0,0.7,9.0,250.0,5.0
2023-02-15,24.4,34.5,28.4,78.0,0.0,5.3,2.0,200.0,1.0
2023-02-16,25.4,32.2,28.3,80.0,0.8,5.1,5.0,215.0,3.0
2023-02-17,23.8,35.0,28.2,77.0,0.0,0.0,7.0,230.0,3.0
2023-02-18,24.8,34.0,28.5,76.0,0.0,8.5,6.0,240.0,2.0
2023-02-19,24.8,34.2,28.7,72.0,0.0,4.4,8.0,250.0,4.0
2023-02-20,25.2,33.2,28.4,82.0,0.0,6.7,2.0,270.0,1.0
2023-02-21,24.3,35.4,27.3,86.0,2.5,1.5,5.0,110.0,2.0
2023-02-22,25.0,32.3,27.8,86.0,10.5,4.4,2.0,340.0,1.0
2023-02-23,24.4,32.15,27.3,86.0,0.0,3.4,2.0,120.0,1.0
2023-02-24,24.6,32.0,27.2,86.0,8888.0,2.8,2.0,10.0,1.0
2023-02-25,25.2,32.1,27.8,84.0,0.0,1.9,2.0,160.0,1.0
2023-02-26,23.8,32.8,26.9,84.0,0.0,1.1,3.0,260.0,1.0
2023-02-27,24.2,32.6,26.9,82.0,1.4,3.8,5.0,115.0,2.0
2023-02-28,24.0,32.0,27.1,86.0,5.8,1.8,3.0,260.0,1.0
2023-03-01,24.0,32.6,27.6,81.0,5.8,2.6,3.0,220.0,1.0
2023-03-02,24.6,34.2,28.3,78.0,8888.0,9999.0,3.0,280.0,1.0
2023-03-03,23.0,34.4,27.5,82.0,22.5,4.5,5.0,280.0,2.0
2023-03-04,24.4,30.6,26.5,89.0,8.5,7.2,4.0,300.0,2.0
2023-03-05,24.0,33.4,27.0,81.0,2.1,2.6,3.0,320.0,2.0
2023-03-06,23.4,33.4,27.6,80.0,4.2,4.0,7.0,230.0,3.0
2023-03-07,24.0,34.8,28.2,80.0,8888.0,2.5,6.0,290.0,2.0
2023-03-08,25.2,31.3,27.4,86.0,0.0,8.3,3.0,30.0,1.0
2023-03-09,24.6,31.6,27.1,82.0,0.9,0.0,4.0,170.0,1.0
2023-03-10,24.3,32.6,27.2,88.0,0.9,3.7,2.0,260.0,1.0
2023-03-11,25.0,31.5,27.5,88.0,1.1,4.4,2.0,200.0,1.0
2023-03-12,24.6,32.8,27.3,87.0,5.5,1.2,2.0,140.0,1.0
2023-03-13,23.8,32.0,26.9,89.0,6.2,6.3,3.0,150.0,1.0
2023-03-14,24.6,32.3,26.5,91.0,0.5,3.9,2.0,310.0,1.0
2023-03-15,23.8,33.2,27.2,85.0,11.5,3.6,3.0,340.0,1.0
2023-03-16,23.8,34.2,27.7,83.0,6.0,4.0,3.0,50.0,1.0
2023-03-17,25.2,33.6,28.4,81.0,0.0,8.8,4.0,50.0,2.0
2023-03-18,24.8,32.4,27.1,88.0,0.0,6.4,6.0,25.0,2.0
2023-03-19,24.2,32.2,27.7,82.0,2.0,4.0,3.0,340.0,2.0
2023-03-20,23.6,31.1,26.8,86.0,0.0,5.4,2.0,270.0,1.0
2023-03-21,24.0,33.0,27.8,84.0,0.0,3.9,2.0,250.0,1.0
2023-03-22,23.6,32.9,26.8,83.0,10.0,4.3,3.0,100.0,1.0
2023-03-23,24.6,32.4,28.0,83.0,0.5,3.0,3.0,320.0,1.0
2023-03-24,24.2,32.5,28.0,84.0,0.0,3.5,4.0,350.0,2.0
2023-03-25,24.4,34.2,28.7,82.0,8888.0,5.3,2.0,340.0,1.0
2023-03-26,24.4,32.9,27.5,87.0,21.0,5.2,2.0,230.0,2.0
2023-03-27,23.9,32.6,26.8,88.0,0.0,4.8,5.0,90.0,1.0
2023-03-28,24.6,31.8,26.7,88.0,10.8,1.4,3.0,140.0,1.0
2023-03-29,24.0,33.3,27.9,82.0,7.1,1.3,4.0,210.0,2.0
2023-03-30,24.2,33.9,28.0,84.0,0.0,4.8,5.0,295.0,2.0
2023-03-31,24.6,32.7,26.4,89.0,0.8,5.7,7.0,50.0,2.0
2023-04-01,23.8,33.4,26.8,86.0,37.3,3.5,4.0,240.0,1.0
2023-04-02,24.5,32.2,26.5,88.0,7.5,6.7,2.0,350.0,1.0
2023-04-03,23.6,33.5,27.3,86.0,7.6,2.8,7.0,150.0,2.0
